1|10
2|4
3|2
4|3
5|50
6|3
7|2
8|50
9|13
10|50
11|13
12|13
13|2
14|320.0000
15|2
16|50
17|11
18|12
19|50
20|10
21|50
22|28
23|1
24|0
25|0
26|0
27|0
28|0
29|0
30|1
31|0
32|1
33|0
34|1775
35|Error
36|900
37|1775
38|1775
39|150
40|50
41|5
42|Error
43|Error
44|Error
45|Error
46|6075.0000
47|Error
48|50
49|20
50|10
51|3
52|11
53|50
54|0
55|0
56|0
57|0
58|0
59|0
60|50
61|17
62|50
63|50
64|50
65|0
66|50
67|0
68|0
69|50
70|16
71|50
72|25
73|0
74|50
75|50
76|50
77|0
78|0
79|50
80|0
81|0
82|0
83|0
84|50
85|0
86|50
87|50
88|0
89|0
90|0
91|50
92|50
93|0
94|14
95|0
96|0
97|0
98|0
99|0
100|0
